crop,region,season,sowing_start,sowing_end,harvest_start,harvest_end,seed_kg_per_acre,notes,source
soybean,central,kharif,15-Apr,15-May,15-Aug,15-Sep,25-30,,DAE / BARC 2018
soybean,coastal,kharif,15-Apr,15-May,15-Aug,15-Sep,25-30,,DAE / BARC 2018
groundnut,northern,kharif,15-Apr,15-May,15-Aug,15-Sep,30-35,,DAE / BARC 2018
groundnut,central,kharif,15-Apr,15-May,15-Aug,15-Sep,30-35,,DAE / BARC 2018
groundnut,coastal,kharif,15-Apr,15-May,15-Aug,15-Sep,30-35,,DAE / BARC 2018
jute,northern,kharif,15-Mar,15-May,15-Jul,15-Sep,4-5,White capsularis sown earlier; tossa later,BBS 2025 §1.8
jute,central,kharif,15-Mar,15-May,15-Jul,15-Sep,4-5,White capsularis sown earlier; tossa later,BBS 2025 §1.8
jute,coastal,kharif,15-Mar,15-May,15-Jul,15-Sep,4-5,White capsularis sown earlier; tossa later,BBS 2025 §1.8
potato,northern,rabi,08-Sep,08-Nov,08-Jan,24-Mar,90-120,Tuber; seed = 4-6 Ql/acre (40-60 kg),BBS 2025 §1.8
potato,central,rabi,15-Sep,15-Nov,15-Jan,31-Mar,90-120,Tuber; seed = 4-6 Ql/acre (40-60 kg),BBS 2025 §1.8
potato,coastal,rabi,15-Sep,15-Nov,15-Jan,31-Mar,90-120,Tuber; seed = 4-6 Ql/acre (40-60 kg),BBS 2025 §1.8
onion,northern,rabi,15-Oct,15-Nov,15-Feb,15-Apr,10-12,Bulb crop,DAE / BARC 2018
onion,central,rabi,15-Oct,15-Nov,15-Feb,15-Apr,10-12,Bulb crop,DAE / BARC 2018
onion,coastal,rabi,15-Oct,15-Nov,15-Feb,15-Apr,10-12,Bulb crop,DAE / BARC 2018
tomato,northern,rabi,15-Oct,15-Nov,15-Feb,15-Apr,10-12,Winter tomato,DAE / BARC 2018
tomato,central,rabi,15-Oct,15-Nov,15-Feb,15-Apr,10-12,Winter tomato,DAE / BARC 2018
tomato,coastal,rabi,15-Oct,15-Nov,15-Feb,15-Apr,10-12,Winter tomato,DAE / BARC 2018
chili,northern,rabi,15-Oct,15-Nov,15-Feb,15-Apr,10-12,Winter chili,DAE / BARC 2018
chili,central,rabi,15-Oct,15-Nov,15-Feb,15-Apr,10-12,Winter chili,DAE / BARC 2018
chili,coastal,rabi,15-Oct,15-Nov,15-Feb,15-Apr,10-12,Winter chili,DAE / BARC 2018
garlic,northern,rabi,15-Oct,15-Nov,15-Feb,15-Apr,10-12,,DAE / BARC 2018
garlic,central,rabi,15-Oct,15-Nov,15-Feb,15-Apr,10-12,,DAE / BARC 2018
garlic,coastal,rabi,15-Oct,15-Nov,15-Feb,15-Apr,10-12,,DAE / BARC 2018
ginger,northern,kharif,15-Apr,15-May,15-Aug,15-Nov,30-35,Rhizome; planting material 30-35 kg/acre,DAE / BARC 2018
ginger,central,kharif,15-Apr,15-May,15-Aug,15-Nov,30-35,Rhizome; planting material 30-35 kg/acre,DAE / BARC 2018
ginger,coastal,kharif,15-Apr,15-May,15-Aug,15-Nov,30-35,Rhizome; planting material 30-35 kg/acre,DAE / BARC 2018
sugarcane,northern,kharif,15-Mar,15-Jun,15-Nov,31-Jan,80-100,"Planting material = setts, 80-100 kg/acre",DAE / BARC 2018
sugarcane,central,kharif,15-Mar,15-Jun,15-Nov,31-Jan,80-100,"Planting material = setts, 80-100 kg/acre",DAE / BARC 2018
sugarcane,coastal,kharif,15-Mar,15-Jun,15-Nov,31-Jan,80-100,"Planting material = setts, 80-100 kg/acre",DAE / BARC 2018
